,Station_id, Avg June Temp,Date
0,USC00519397,78.0,2010-06-01
1,USC00519397,76.0,2010-06-02
2,USC00519397,78.0,2010-06-03
3,USC00519397,76.0,2010-06-04
4,USC00519397,77.0,2010-06-05
5,USC00519397,78.0,2010-06-06
6,USC00519397,77.0,2010-06-07
7,USC00519397,78.0,2010-06-08
8,USC00519397,78.0,2010-06-09
9,USC00519397,79.0,2010-06-10
10,USC00519397,78.0,2010-06-11
11,USC00519397,78.0,2010-06-12
12,USC00519397,78.0,2010-06-13
13,USC00519397,77.0,2010-06-14
14,USC00519397,78.0,2010-06-15
15,USC00519397,78.0,2010-06-16
16,USC00519397,77.0,2010-06-17
17,USC00519397,77.0,2010-06-18
18,USC00519397,82.0,2010-06-19
19,USC00519397,78.0,2010-06-20
20,USC00519397,78.0,2010-06-21
21,USC00519397,78.0,2010-06-22
22,USC00519397,78.0,2010-06-23
23,USC00519397,78.0,2010-06-24
24,USC00519397,77.0,2010-06-25
25,USC00519397,76.0,2010-06-26
26,USC00519397,78.0,2010-06-27
27,USC00519397,78.0,2010-06-28
28,USC00519397,78.0,2010-06-29
29,USC00519397,78.0,2010-06-30
30,USC00519397,77.0,2011-06-01
31,USC00519397,78.0,2011-06-02
32,USC00519397,73.0,2011-06-03
33,USC00519397,70.0,2011-06-04
34,USC00519397,76.0,2011-06-05
35,USC00519397,77.0,2011-06-06
36,USC00519397,77.0,2011-06-07
37,USC00519397,77.0,2011-06-08
38,USC00519397,77.0,2011-06-09
39,USC00519397,78.0,2011-06-10
40,USC00519397,77.0,2011-06-11
41,USC00519397,77.0,2011-06-12
42,USC00519397,78.0,2011-06-13
43,USC00519397,78.0,2011-06-14
44,USC00519397,77.0,2011-06-15
45,USC00519397,78.0,2011-06-17
46,USC00519397,78.0,2011-06-18
47,USC00519397,75.0,2011-06-19
48,USC00519397,76.0,2011-06-20
49,USC00519397,76.0,2011-06-21
50,USC00519397,77.0,2011-06-24
51,USC00519397,78.0,2011-06-25
52,USC00519397,76.0,2011-06-26
53,USC00519397,77.0,2011-06-27
54,USC00519397,75.0,2011-06-28
55,USC00519397,77.0,2011-06-29
56,USC00519397,76.0,2012-06-01
57,USC00519397,76.0,2012-06-02
58,USC00519397,75.0,2012-06-03
59,USC00519397,77.0,2012-06-04
60,USC00519397,77.0,2012-06-05
61,USC00519397,76.0,2012-06-06
62,USC00519397,78.0,2012-06-07
63,USC00519397,77.0,2012-06-08
64,USC00519397,76.0,2012-06-09
65,USC00519397,77.0,2012-06-10
66,USC00519397,76.0,2012-06-11
67,USC00519397,76.0,2012-06-12
68,USC00519397,77.0,2012-06-13
69,USC00519397,77.0,2012-06-14
70,USC00519397,78.0,2012-06-15
71,USC00519397,77.0,2012-06-16
72,USC00519397,77.0,2012-06-17
73,USC00519397,77.0,2012-06-18
74,USC00519397,76.0,2012-06-19
75,USC00519397,75.0,2012-06-20
76,USC00519397,76.0,2012-06-21
77,USC00519397,76.0,2012-06-22
78,USC00519397,77.0,2012-06-23
79,USC00519397,76.0,2012-06-24
80,USC00519397,73.0,2012-06-25
81,USC00519397,73.0,2012-06-26
82,USC00519397,75.0,2012-06-27
83,USC00519397,77.0,2012-06-28
84,USC00519397,76.0,2012-06-29
85,USC00519397,77.0,2012-06-30
86,USC00519397,79.0,2013-06-01
87,USC00519397,78.0,2013-06-02
88,USC00519397,79.0,2013-06-03
89,USC00519397,78.0,2013-06-04
90,USC00519397,78.0,2013-06-05
91,USC00519397,79.0,2013-06-06
92,USC00519397,77.0,2013-06-07
93,USC00519397,77.0,2013-06-08
94,USC00519397,77.0,2013-06-09
95,USC00519397,77.0,2013-06-10
96,USC00519397,77.0,2013-06-11
97,USC00519397,78.0,2013-06-12
98,USC00519397,77.0,2013-06-13
99,USC00519397,76.0,2013-06-14
100,USC00519397,78.0,2013-06-15
101,USC00519397,78.0,2013-06-16
102,USC00519397,77.0,2013-06-17
103,USC00519397,78.0,2013-06-18
104,USC00519397,78.0,2013-06-19
105,USC00519397,73.0,2013-06-20
106,USC00519397,76.0,2013-06-21
107,USC00519397,77.0,2013-06-22
108,USC00519397,75.0,2013-06-23
109,USC00519397,76.0,2013-06-24
110,USC00519397,74.0,2013-06-25
111,USC00519397,75.0,2013-06-26
112,USC00519397,77.0,2013-06-27
113,USC00519397,76.0,2013-06-28
114,USC00519397,77.0,2013-06-29
115,USC00519397,78.0,2013-06-30
116,USC00519397,79.0,2014-06-01
117,USC00519397,77.0,2014-06-02
118,USC00519397,78.0,2014-06-03
119,USC00519397,79.0,2014-06-04
120,USC00519397,78.0,2014-06-05
121,USC00519397,78.0,2014-06-06
122,USC00519397,78.0,2014-06-07
123,USC00519397,78.0,2014-06-08
124,USC00519397,79.0,2014-06-09
125,USC00519397,79.0,2014-06-10
126,USC00519397,82.0,2014-06-11
127,USC00519397,80.0,2014-06-12
128,USC00519397,79.0,2014-06-13
129,USC00519397,79.0,2014-06-14
